dom4j (195 classes; 16 packages; 930 deps)

Cycle #0: dom4j
S; MQ:  5,3055; MV:    0; DT:    0; SOL: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 10 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 15]
I; MQ:  6,2361; MV:   27; DT:   17; SOL: [0 0 0 0 0 0 0 0 0 0 13 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 4 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 0 13 12 12 12 12 12 0 12 12 12 12 12 13 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 3 12 12 12 12 4 13 13 13 12 12 12 12 12 12 4 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  6,4727; MV:   28; DT:   20; SOL: [0 0 0 0 0 0 0 0 0 0 13 0 5 0 0 0 0 0 0 0 0 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 10 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 12 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 0 3 12 12 12 12 4 13 13 13 12 12 12 12 12 12 4 12 12 12 12 13 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  6,5112; MV:   33; DT:   20; SOL: [0 0 0 0 0 0 0 0 0 0 13 0 5 0 12 0 0 0 0 0 0 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 12 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 13 13 13 12 0 12 12 12 12 4 12 12 12 12 2 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  7,0987; MV:   35; DT:   23; SOL: [0 0 0 0 0 5 0 0 0 0 13 0 5 0 12 0 0 0 0 0 0 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 12 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 0 12 12 12 12 4 12 12 12 12 2 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  7,1707; MV:   35; DT:   27; SOL: [0 0 0 0 0 5 0 0 0 0 0 0 5 0 12 0 0 0 0 0 13 0 0 0 13 0 1 1 1 1 1 13 2 13 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 13 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 5 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 12 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 12 12 12 12 2 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  7,1909; MV:   38; DT:   31; SOL: [0 0 0 0 0 5 0 0 0 0 0 0 5 0 12 0 0 0 0 0 13 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 0 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 0 0 12 12 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 12 12 12 12 2 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  7,2662; MV:   37; DT:   34; SOL: [0 0 0 0 0 0 0 0 0 0 0 5 5 0 12 0 0 0 0 0 13 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 6 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 0 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 12 12 12 12 2 13 13 0 13 13 13 13 13 13 13 14 14 14 0 15]
I; MQ:  7,3054; MV:   42; DT:   34; SOL: [0 0 0 0 0 0 0 0 0 0 0 5 5 0 12 0 0 0 0 0 13 0 0 0 13 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 0 8 7 7 7 7 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 13 13 12 12 12 12 12 0 12 0 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 0 12 12 0 2 13 13 0 13 13 0 13 13 13 13 14 14 14 0 15]
I; MQ:  7,4004; MV:   43; DT:   37; SOL: [0 0 0 0 0 0 0 0 0 0 0 5 5 0 12 0 0 0 0 0 13 0 0 0 0 0 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 4 5 5 5 5 5 0 5 6 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 0 8 7 7 8 8 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 0 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 0 12 12 0 2 13 13 0 13 13 0 13 13 13 13 14 14 14 0 15]
I; MQ:  7,5826; MV:   48; DT:   37; SOL: [0 0 0 0 0 0 0 0 0 0 0 5 5 0 12 0 0 0 0 0 13 0 0 0 0 14 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 0 0 6 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 0 8 8 7 8 8 7 7 8 9 9 9 9 9 9 9 9 9 0 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 0 12 12 12 4 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 12 12 12 12 4 10 10 10 10 13 12 12 12 12 4 0 12 12 0 2 13 13 0 13 13 0 13 13 13 13 0 14 14 0 15]
I; MQ:  7,6485; MV:   51; DT:   38; SOL: [0 0 0 3 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 13 0 0 0 0 14 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 0 0 6 5 5 5 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 0 8 8 7 8 8 7 7 8 9 9 9 0 9 9 9 9 9 0 9 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 0 12 12 12 4 0 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 0 12 12 12 4 10 10 10 10 13 12 12 12 12 4 0 12 12 0 2 13 13 0 13 13 0 13 13 13 13 0 14 14 0 15]
I; MQ:  7,7385; MV:   55; DT:   39; SOL: [0 0 0 3 0 0 0 0 0 0 0 5 5 0 0 0 0 0 0 0 13 0 0 0 0 14 1 1 1 1 1 13 2 0 2 2 2 2 3 3 3 3 0 3 3 3 3 3 3 3 3 3 3 5 5 5 5 5 5 5 5 5 0 0 6 5 0 0 5 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 0 0 5 5 5 5 5 0 15 6 6 6 6 6 6 6 6 6 0 8 8 7 8 8 7 7 8 9 9 9 0 9 9 9 9 9 0 0 11 11 11 11 11 11 0 0 12 12 12 12 12 0 12 0 12 12 12 4 0 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 0 3 0 12 12 12 4 10 10 10 10 13 12 12 12 12 4 0 12 13 0 2 13 13 0 13 13 0 13 13 13 13 0 14 14 0 15]
