Jung_graph_model (207 classes; 21 packages; 603 deps)

Cycle #0: Jung_graph_model
I; MQ:  9,4915; MV:   31; DT:   18; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 10 10 10 11 11 11 11 11 8 8 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 2 16 17 16 16 16 16 17 17 17 17 16 17 17 17 18 18 18 18 18 18 18 18 2 2 2 18 18 18 15 19 19 18 20 6 8 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  9,6643; MV:   34; DT:   20; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 2 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 0 10 10 11 11 11 11 11 8 8 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 2 16 17 18 18 18 18 18 18 18 18 2 2 2 18 18 18 15 19 19 18 20 6 8 20 20 20 20 20 20 20 20 20 20 20 20 20]
I; MQ:  9,8163; MV:   38; DT:   21; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 0 3 3 3 3 3 20 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 8 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 12 13 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 2 12 12 13 13 13 14 14 14 2 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 2 16 17 18 18 18 18 18 18 18 18 2 2 2 18 2 18 15 19 19 18 20 6 8 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,2994; MV:   40; DT:   24; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 2 2 2 19 2 2 4 0 3 3 3 3 3 20 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 2 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 2 12 12 0 13 13 14 14 14 2 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 2 16 17 18 18 18 18 18 18 18 18 2 2 2 18 2 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,3586; MV:   40; DT:   27; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 2 2 19 2 2 2 0 3 3 3 3 3 20 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 11 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 2 12 12 12 13 13 14 14 14 2 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 2 16 17 18 18 18 18 18 18 18 18 2 2 2 18 2 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,4473; MV:   42; DT:   31; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 2 2 19 2 2 2 0 3 3 3 3 3 20 4 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 21 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 2 12 12 12 12 12 12 12 12 12 12 21 12 12 12 13 13 14 14 14 21 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 21 16 17 2 18 18 18 18 18 18 18 2 2 2 18 2 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,4912; MV:   43; DT:   35; SOL: [0 0 0 0 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 2 2 19 2 2 2 0 3 3 3 3 3 20 21 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 21 11 11 8 11 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 21 12 12 12 12 12 12 12 12 12 12 21 12 12 12 13 13 14 14 14 21 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 21 16 17 2 18 18 18 18 18 18 18 21 2 21 18 4 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,5120; MV:   46; DT:   37; SOL: [0 0 0 15 0 0 0 15 0 0 0 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 21 2 19 2 2 2 0 3 3 3 3 3 20 21 4 4 4 4 4 4 4 4 4 4 15 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 21 11 11 8 0 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 21 12 12 12 13 13 14 14 14 21 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 21 16 17 2 18 18 18 18 18 18 18 21 2 21 18 21 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,5854; MV:   47; DT:   40; SOL: [0 0 0 15 0 0 15 15 0 0 15 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 21 2 19 2 2 2 0 3 3 3 3 3 20 21 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 21 11 11 8 15 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 18 12 12 12 12 12 12 12 12 12 12 21 12 12 12 13 13 14 14 14 21 15 15 16 16 18 16 16 16 16 16 16 18 16 16 17 17 16 2 16 16 16 16 17 17 17 17 16 21 16 17 2 18 18 18 18 18 18 18 21 2 21 18 21 18 21 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
I; MQ: 10,6297; MV:   50; DT:   42; SOL: [0 0 0 15 0 0 15 15 0 0 15 1 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 1 15 2 21 0 2 19 2 2 2 0 3 3 3 3 3 20 21 21 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 5 5 6 6 6 6 6 7 7 7 7 7 7 7 8 9 9 9 10 10 9 10 10 11 11 11 11 11 8 14 21 11 11 8 15 12 12 12 12 12 12 12 12 12 12 12 12 2 2 12 12 12 12 18 12 21 12 12 12 12 12 12 12 12 21 12 12 12 13 13 14 14 14 21 15 15 16 16 18 16 16 16 16 16 16 18 16 2 17 17 16 2 16 16 16 16 17 17 17 17 16 21 16 17 2 18 18 18 18 18 18 18 21 2 21 18 21 18 15 19 19 18 20 6 14 20 8 20 20 20 20 20 20 20 20 20 20 20]
