pfcda_swing (252 classes; 37 packages; 885 deps)

Cycle #0: pfcda_swing
I; MQ: 15,2736; MV:   37; DT:   12; SOL: [0 0 1 0 1 1 36 36 0 0 1 1 18 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 27 27 27 27 27 27 10 9 27 27 9 27 27 27 26 27 27 27 28 28 28 29 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,3389; MV:   41; DT:   13; SOL: [0 0 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 20 8 8 8 8 9 9 9 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 27 27 27 27 27 27 10 9 27 27 9 27 27 27 26 27 27 27 28 0 28 0 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,5064; MV:   45; DT:   14; SOL: [36 0 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 20 8 8 8 8 9 9 14 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 11 18 11 18 18 11 11 11 11 0 11 11 11 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 0 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 27 27 27 27 27 27 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,6414; MV:   48; DT:   15; SOL: [36 0 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 11 11 11 11 11 12 11 11 11 13 18 11 18 18 11 11 11 11 0 11 11 0 11 11 15 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 0 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,7552; MV:   49; DT:   17; SOL: [36 0 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 11 12 11 11 11 13 18 11 18 18 11 11 11 16 0 11 11 0 12 11 12 12 12 12 12 12 13 13 13 13 0 13 14 14 14 14 14 14 15 15 15 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 29 28 29 29 29 29 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,8256; MV:   52; DT:   20; SOL: [36 0 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 29 29 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 11 12 11 11 11 15 18 11 18 18 11 11 11 16 0 11 11 0 12 11 12 12 12 12 12 12 13 13 13 13 12 13 14 14 14 14 14 14 15 15 12 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 0 20 20 20 20 20 20 20 20 0 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 29 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,9097; MV:   53; DT:   23; SOL: [36 19 1 0 1 1 36 36 0 0 1 1 21 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 11 12 11 11 11 15 18 11 18 18 11 11 11 16 0 11 11 0 12 11 12 12 12 12 12 12 13 13 13 13 12 13 14 14 14 14 14 14 15 15 12 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 0 20 20 20 20 20 20 20 20 19 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 28 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 15,9870; MV:   52; DT:   28; SOL: [36 19 1 0 1 1 36 36 19 0 1 1 21 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 11 12 11 11 11 13 18 11 18 18 11 11 11 16 19 11 11 0 12 11 12 12 12 12 12 12 13 13 13 13 19 13 14 14 14 14 14 14 15 15 12 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 19 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 27 27 27 26 27 27 27 0 0 28 28 29 29 29 28 28 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 32 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 36]
I; MQ: 16,1921; MV:   57; DT:   28; SOL: [36 19 1 0 1 1 36 36 19 0 1 1 21 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 12 12 11 11 11 13 18 11 18 18 11 11 11 16 19 11 11 0 12 11 12 12 12 12 12 0 13 13 13 13 19 13 14 14 14 14 14 14 15 15 12 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 19 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 21 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 9 27 27 26 27 27 27 0 0 28 28 29 29 29 28 28 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 1 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 36 9 36 36 35 36 35 35]
I; MQ: 16,3356; MV:   59; DT:   30; SOL: [36 19 1 0 1 1 36 36 19 0 1 1 21 1 1 2 2 2 2 28 2 3 3 30 30 3 4 4 4 5 5 5 5 5 5 6 6 17 6 6 27 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 14 10 10 10 10 10 10 16 11 11 11 12 12 11 11 11 13 18 11 18 18 11 11 11 16 19 11 11 19 12 11 12 12 12 12 12 12 13 13 13 13 19 13 14 14 14 14 14 14 15 15 12 15 15 15 16 16 16 16 17 17 17 17 17 17 17 18 18 19 20 20 20 20 20 20 20 20 20 19 20 20 20 20 20 29 21 21 21 21 21 28 0 18 18 0 21 29 21 22 22 22 22 22 22 23 24 24 25 25 25 26 26 26 26 26 26 26 26 27 27 27 10 10 27 27 27 27 8 10 9 27 27 9 9 27 27 26 27 27 27 0 0 28 28 29 29 29 28 28 28 29 29 29 28 29 30 3 30 31 31 31 31 32 32 32 32 32 32 32 1 33 33 33 33 33 33 33 33 34 34 34 34 34 34 35 35 9 9 36 35 35 36 35 35]
